time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,snowfall,cloud_cover,pressure_msl,wind_speed_10m,wind_gusts_10m,wind_direction_10m
2025-10-01 00:00:00,20.4,75,20.0,0.0,0.0,0.0,100,1015.4,15.8,31.3,21
2025-10-01 01:00:00,20.2,73,19.6,0.0,0.0,0.0,94,1015.2,16.4,33.1,30
2025-10-01 02:00:00,19.4,75,18.7,0.0,0.0,0.0,99,1015.5,15.8,32.8,35
2025-10-01 03:00:00,19.4,72,18.6,0.0,0.0,0.0,84,1015.7,14.5,31.7,32
2025-10-01 04:00:00,19.1,68,17.9,0.0,0.0,0.0,67,1015.9,14.9,29.2,25
2025-10-01 05:00:00,18.6,69,17.0,0.0,0.0,0.0,99,1015.9,16.9,33.1,22
2025-10-01 06:00:00,18.9,68,17.4,0.0,0.0,0.0,84,1016.0,17.0,34.6,30
2025-10-01 07:00:00,18.7,69,17.2,0.0,0.0,0.0,100,1016.6,16.6,33.8,30
2025-10-01 08:00:00,18.2,68,16.6,0.0,0.0,0.0,38,1017.8,15.5,34.2,29
2025-10-01 09:00:00,19.5,67,18.7,0.0,0.0,0.0,31,1018.4,12.5,31.3,27
2025-10-01 10:00:00,21.0,61,19.8,0.0,0.0,0.0,16,1019.0,15.0,33.5,30
2025-10-01 11:00:00,22.3,58,21.1,0.0,0.0,0.0,3,1019.5,16.1,37.1,39
2025-10-01 12:00:00,23.3,56,23.0,0.0,0.0,0.0,18,1019.4,16.1,37.8,37
2025-10-01 13:00:00,23.9,55,24.0,0.0,0.0,0.0,86,1019.1,16.8,39.6,38
2025-10-01 14:00:00,24.9,49,24.6,0.0,0.0,0.0,0,1018.9,15.2,39.6,43
2025-10-01 15:00:00,25.1,48,24.9,0.0,0.0,0.0,2,1018.6,14.5,36.0,39
2025-10-01 16:00:00,24.8,48,24.0,0.0,0.0,0.0,100,1018.7,14.5,34.6,37
2025-10-01 17:00:00,24.0,51,22.8,0.0,0.0,0.0,100,1018.9,14.9,34.2,45
2025-10-01 18:00:00,22.7,58,21.9,0.0,0.0,0.0,89,1019.2,14.1,33.5,56
2025-10-01 19:00:00,20.8,67,20.2,0.0,0.0,0.0,100,1019.8,13.6,29.9,66
2025-10-01 20:00:00,19.3,72,19.1,0.0,0.0,0.0,47,1021.0,11.0,27.0,80
2025-10-01 21:00:00,18.6,75,18.4,0.0,0.0,0.0,0,1021.9,10.5,20.9,77
2025-10-01 22:00:00,18.0,78,17.9,0.0,0.0,0.0,0,1022.7,10.3,19.8,75
2025-10-01 23:00:00,17.5,79,17.1,0.0,0.0,0.0,0,1023.4,11.3,21.2,76
2025-10-02 00:00:00,17.0,80,16.4,0.0,0.0,0.0,0,1023.7,11.7,22.3,73
